JJJJ MM DD HH MM T2m T30m TF2m TF30m V DIR N GLOB DIFF SON P
2018 12 1 3 37 5.27 5.23 5.17 5.23 2.46 244.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 38 5.26 5.23 5.16 5.23 3.08 282.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 39 5.28 5.24 5.18 5.24 4.08 250.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 40 5.30 5.25 5.20 5.25 3.50 264.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 41 5.30 5.26 5.19 5.26 3.27 251.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 42 5.30 5.27 5.18 5.27 2.54 256.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 43 5.29 5.27 5.17 5.27 3.47 265.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 44 5.30 5.27 5.18 5.27 2.21 273.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 45 5.31 5.27 5.20 5.27 1.69 262.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 46 5.31 5.27 5.20 5.27 2.10 266.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 47 5.32 5.27 5.21 5.27 2.62 260.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 48 5.33 5.29 5.21 5.29 1.78 252.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 49 5.33 5.29 5.21 5.29 1.92 277.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 50 5.33 5.29 5.20 5.29 3.43 273.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 51 5.35 5.29 5.22 5.29 2.34 251.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 52 5.37 5.31 5.24 5.31 3.00 241.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 53 5.39 5.32 5.26 5.32 2.20 264.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 54 5.39 5.32 5.25 5.32 3.20 267.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 55 5.38 5.32 5.23 5.32 2.27 249.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 56 5.38 5.33 5.23 5.33 1.76 258.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 57 5.37 5.33 5.22 5.33 1.51 248.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 58 5.37 5.34 5.22 5.34 1.89 243.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 59 5.37 5.34 5.22 5.34 2.42 259.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 0 5.35 5.33 5.21 5.33 4.53 262.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 1 5.36 5.33 5.22 5.33 3.79 266.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 2 5.35 5.33 5.20 5.33 3.53 266.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 3 5.36 5.32 5.21 5.32 3.93 260.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 4 5.36 5.33 5.21 5.33 3.69 254.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 5 5.35 5.33 5.19 5.33 4.04 266.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 6 5.34 5.32 5.19 5.32 3.48 259.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 7 5.34 5.32 5.20 5.32 4.31 271.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 4 8 5.35 5.31 5.20 5.31 3.57 265.0 0.000 0.00 0.00 0.00 957.3
